Level	Rule Name	Subject	Property	Value
ERROR	deprecated_class_reference	tetragonal equivalency assertion	rdfs:subClassOf	73630f69-8701-43bb-bdf5-6552284e7695genid276
ERROR	deprecated_class_reference	tetragonal equivalency assertion	rdfs:subClassOf	symmetry equivalency assertion
ERROR	deprecated_class_reference	tetragonal equivalency assertion	owl:equivalentClass	73630f69-8701-43bb-bdf5-6552284e7695genid272
ERROR	deprecated_class_reference	symmetry equivalency assertion	rdfs:subClassOf	73630f69-8701-43bb-bdf5-6552284e7695genid426
ERROR	deprecated_class_reference	symmetry equivalency assertion	rdfs:subClassOf	73630f69-8701-43bb-bdf5-6552284e7695genid443
ERROR	deprecated_class_reference	symmetry equivalency assertion	rdfs:subClassOf	information content entity
ERROR	deprecated_class_reference	symmetry equivalency assertion	rdfs:subClassOf	tetragonal equivalency assertion
ERROR	deprecated_class_reference	symmetry equivalency assertion	rdfs:subClassOf	cubic equivalency assertion
ERROR	deprecated_class_reference	cubic equivalency assertion	rdfs:subClassOf	73630f69-8701-43bb-bdf5-6552284e7695genid618
ERROR	deprecated_class_reference	cubic equivalency assertion	rdfs:subClassOf	symmetry equivalency assertion
ERROR	deprecated_class_reference	cubic equivalency assertion	owl:equivalentClass	73630f69-8701-43bb-bdf5-6552284e7695genid614
ERROR	deprecated_class_reference	cubic crystal lattice	rdfs:subClassOf	crystal lattice
ERROR	deprecated_class_reference	cubic crystal lattice	owl:equivalentClass	73630f69-8701-43bb-bdf5-6552284e7695genid619
ERROR	deprecated_class_reference	triclinic crystal lattice	rdfs:subClassOf	crystal lattice
ERROR	deprecated_class_reference	triclinic crystal lattice	owl:equivalentClass	73630f69-8701-43bb-bdf5-6552284e7695genid627
ERROR	deprecated_class_reference	monoclinic crystal lattice	rdfs:subClassOf	crystal lattice
ERROR	deprecated_class_reference	monoclinic crystal lattice	owl:equivalentClass	73630f69-8701-43bb-bdf5-6552284e7695genid635
ERROR	deprecated_class_reference	orthomombic crystal lattice	rdfs:subClassOf	crystal lattice
ERROR	deprecated_class_reference	orthomombic crystal lattice	owl:equivalentClass	73630f69-8701-43bb-bdf5-6552284e7695genid643
ERROR	deprecated_class_reference	tetragonal crystal lattice	rdfs:subClassOf	crystal lattice
ERROR	deprecated_class_reference	tetragonal crystal lattice	owl:equivalentClass	73630f69-8701-43bb-bdf5-6552284e7695genid651
ERROR	deprecated_class_reference	rhombohedral crystal lattice	rdfs:subClassOf	crystal lattice
ERROR	deprecated_class_reference	rhombohedral crystal lattice	owl:equivalentClass	73630f69-8701-43bb-bdf5-6552284e7695genid659
ERROR	deprecated_class_reference	hexagonal crystal lattice	rdfs:subClassOf	crystal lattice
ERROR	deprecated_class_reference	hexagonal crystal lattice	owl:equivalentClass	73630f69-8701-43bb-bdf5-6552284e7695genid667
ERROR	deprecated_property_reference	symmetry equivalency assertion	under symmetry	blank node
ERROR	deprecated_property_reference	Miller indices family of	owl:inverseOf	has Miller indices family
WARN	missing_definition	unit cell	definition	
WARN	missing_definition	crystal lattice	definition	
WARN	missing_definition	lattice parameter	definition	
WARN	missing_definition	a lattice parameter	definition	
WARN	missing_definition	b lattice parameter	definition	
WARN	missing_definition	c lattice parameter	definition	
WARN	missing_definition	angular lattice parameter	definition	
WARN	missing_definition	α lattice parameter	definition	
WARN	missing_definition	β lattice parameter	definition	
WARN	missing_definition	γ lattice parameter	definition	
WARN	missing_definition	basis	definition	
WARN	missing_definition	crystallographic plane	definition	
WARN	missing_definition	crystallographic direction	definition	
WARN	missing_definition	interplanar spacing	definition	
WARN	missing_definition	Miller indices	definition	
WARN	missing_definition	lattice angle	definition	
WARN	missing_definition	has Miller indices	definition	
WARN	missing_definition	primitive unit cell	definition	
WARN	missing_definition	conventional unit cell	definition	
WARN	missing_definition	has Miller index	definition	
WARN	missing_definition	direction Miller indices	definition	
WARN	missing_definition	family of directions Miller indices	definition	
WARN	missing_definition	plane Miller indices	definition	
WARN	missing_definition	family of planes Miller indices	definition	
WARN	missing_definition	point coordinate datum	definition	
WARN	missing_definition	atomic plane	definition	
WARN	missing_definition	crystal system	definition	
WARN	missing_definition	lattice centering	definition	
WARN	missing_definition	crystal system value	definition	
WARN	missing_definition	lattice centering value	definition	
WARN	missing_definition	alpha angle	definition	
WARN	missing_definition	beta angle	definition	
WARN	missing_definition	gamma angle	definition	
WARN	missing_definition	crystallographic entity in cubic system	definition	
WARN	missing_definition	grain orientation	definition	
WARN	missing_definition	bravais lattice triclinic primitive	definition	
WARN	missing_definition	bravais lattice monoclinic primitive	definition	
WARN	missing_definition	is tetragonal	definition	
